epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,42785.5,0.93262,0.41494,0.9013,0.9506,0.84242,0.89913,0.41794,1.94357,0.68048,1.35634,0.000416,0.000416,0.000416
82,43272.1,0.91342,0.41029,0.90848,0.89711,0.87273,0.91345,0.42961,1.92088,0.66034,1.34178,0.0003962,0.0003962,0.0003962
83,43761.3,0.92072,0.41437,0.90186,0.95197,0.84093,0.91596,0.43851,1.89196,0.65314,1.34149,0.0003764,0.0003764,0.0003764
84,44249.4,0.91804,0.40856,0.90394,0.92724,0.84964,0.90991,0.4332,1.91888,0.66845,1.342,0.0003566,0.0003566,0.0003566
85,44736.7,0.90336,0.40549,0.90056,0.92796,0.86667,0.91508,0.4386,1.91088,0.64987,1.34498,0.0003368,0.0003368,0.0003368
86,45213.4,0.902,0.40545,0.89553,0.94629,0.85417,0.9127,0.42797,1.92583,0.66149,1.35478,0.000317,0.000317,0.000317
87,45698.7,0.89278,0.39769,0.89632,0.93726,0.85455,0.90415,0.40627,1.9982,0.68433,1.40139,0.0002972,0.0002972,0.0002972
88,46175.8,0.89688,0.39764,0.8977,0.93932,0.85455,0.91084,0.40937,1.99465,0.67746,1.3862,0.0002774,0.0002774,0.0002774
89,46657,0.90148,0.40007,0.89507,0.93783,0.85455,0.91503,0.42079,1.92665,0.66073,1.3587,0.0002576,0.0002576,0.0002576
90,47137.4,0.88627,0.3952,0.89021,0.93347,0.85455,0.90838,0.41337,1.99689,0.6892,1.39302,0.0002378,0.0002378,0.0002378
91,47604.7,0.90054,0.3923,0.91926,0.96204,0.82424,0.90006,0.41336,1.9398,0.67771,1.36088,0.000218,0.000218,0.000218
92,48077.5,0.85457,0.37629,0.89784,0.95021,0.80968,0.89909,0.41517,1.94671,0.67535,1.37623,0.0001982,0.0001982,0.0001982
93,48550,0.84175,0.37315,0.89897,0.93603,0.7981,0.88156,0.40614,2.02977,0.69256,1.42283,0.0001784,0.0001784,0.0001784
94,49019.9,0.82144,0.36852,0.89151,0.93929,0.84397,0.90634,0.41677,1.95993,0.6605,1.39381,0.0001586,0.0001586,0.0001586
95,49495.6,0.79918,0.36084,0.88581,0.93584,0.84242,0.90026,0.41298,1.97373,0.67068,1.39098,0.0001388,0.0001388,0.0001388
96,49965.8,0.78847,0.36023,0.89259,0.95843,0.83846,0.90815,0.41981,1.97359,0.68049,1.39002,0.000119,0.000119,0.000119
97,50434.8,0.78475,0.35767,0.87501,0.95179,0.83759,0.90805,0.4212,1.95281,0.67724,1.38144,9.92e-05,9.92e-05,9.92e-05
98,50904,0.77302,0.35218,0.88563,0.95226,0.83636,0.90967,0.42373,1.96667,0.6841,1.39071,7.94e-05,7.94e-05,7.94e-05
99,51371.1,0.76927,0.35021,0.88045,0.95851,0.84242,0.90725,0.4195,1.97756,0.68927,1.40076,5.96e-05,5.96e-05,5.96e-05
100,51845.8,0.7556,0.34586,0.87185,0.95845,0.83885,0.90663,0.4212,1.961,0.68316,1.3932,3.98e-05,3.98e-05,3.98e-05
